dimension,inputsize,keysize,threshold,nclients,dropout,phase,round,direction,size
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
100000,16,2048,400,600,0.3,setup,register,sent,1040
